Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	kmer_content
ERR494845_1	ERR494845_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1790169.0	0.0	15-100	63.0	96.18556264145465	95.6009672829772	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass		
ERR494845_2	ERR494845_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1790169.0	0.0	15-100	63.0	96.25687790209724	94.61790478999468	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass		
ERR494846_1	ERR494846_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1880536.0	0.0	15-100	64.0	95.27345377679295	95.61015157380662	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494846_2	ERR494846_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1880536.0	0.0	15-100	64.0	95.38681542627742	94.54293137701166	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494847_1	ERR494847_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1805797.0	0.0	15-100	64.0	95.7912573030627	95.6018899134288	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494847_2	ERR494847_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1805797.0	0.0	15-100	64.0	95.90637839522968	94.56797635614635	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494848_1	ERR494848_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1803042.0	0.0	15-100	64.0	95.3310020558455	95.64657950286238	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494848_2	ERR494848_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1803042.0	0.0	15-100	64.0	95.44998826426617	94.64061846590373	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494849_1	ERR494849_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2012310.0	0.0	15-100	63.0	95.163214852759	95.6485939045177	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494849_2	ERR494849_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2012310.0	0.0	15-100	63.0	95.29837590017695	94.76152879029573	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR494850_1	ERR494850_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1874580.0	0.0	15-100	63.0	95.57295652729411	95.75509074032583	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass		
ERR494850_2	ERR494850_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1874580.0	0.0	15-100	63.0	95.70854094911692	94.71823448452453	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass		
ERR494851_1	ERR494851_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1909751.0	0.0	15-100	63.0	95.64602784041757	95.70144694255953	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
